Dataset,Creation date,Creation location,Creation methodology,Creation source,Aggregated creator contributor,Maintenance frequency,Maintenance location,Maintenance methodology,Modification date,Aggregated Maintenance contributor,Usage access procedure,Usage license,Usage requirements,Usage reuse,Usage concepts covered,Usage dataset description,Usage dataset entities,Usage examples,Usage dataset quality,Usage RDF serialization,Usage dataset triples,Usage End availability,Usage End validity,Usage start availability,Usage access address,Usage location,Usage dataset webpage,Usage audience,Usage Dataset publisher,Usage rights
http://caligraph.org/.well-known/void,1,0,0,1,"0,2",0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1
http://comsode.eu/resource/dataset/COMSODE_D3.2/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://data.czso.cz/resource/dataset/average-salaries/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://data.czso.cz/resource/dataset/deaths-by-selected-causes-of-death/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://data.czso.cz/resource/dataset/demography-in-regions-czech-republic-age-categories/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://data.czso.cz/resource/dataset/job-applicants-and-unemployment-rate/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://data.czso.cz/resource/dataset/job-applicants/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://data.czso.cz/resource/dataset/regions/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://data.czso.cz/resource/dataset/selected-indicators-of-public-health/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1
http://data.czso.cz/resource/dataset/social-service-facilities/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
