Date,endpoint,Simple name,Completeness,Data Collection,Data Maintenance,Data Usage,Data Collection - How,Data Collection - When,Data Collection - Where,Data Collection - Who,Data Maintenance - How,Data Maintenance - When,Data Maintenance - Where,Data Maintenance - Who,Data Usage - How,Data Usage - When,Data Usage - Where,Data Usage - Who,Data Usage - What
10/10/2022,http://www.lotico.com:3030/lotico/sparql,www.lotico.com:3030/lotico,2.2,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,25.0,0.0,0.0
10/10/2022,https://dbpedia.org/sparql,dbpedia.org,3.1,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,25.0,0.0,13.3
10/10/2022,http://www.icane.es/opendata/sparql,www.icane.es/opendata,3.7,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,25.0,0.0,13.3
10/10/2022,http://linkeddata.uriburner.com/sparql,linkeddata.uriburner.com,7.6,0.0,0.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,50.0,0.0,46.7
10/10/2022,http://zbw.eu/beta/sparql/stw/query,zbw.eu/beta/sparql/stw/query*,15.6,5.0,0.0,41.7,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,8.3,33.3,50.0,50.0,66.7
10/10/2022,http://datos.bcn.cl/sparql,datos.bcn.cl,16.9,5.0,25.0,20.7,0.0,0.0,0.0,20.0,0.0,100.0,0.0,0.0,0.0,33.3,0.0,50.0,20.0
10/10/2022,https://ruian.linked.opendata.cz/sparql,ruian.linked.opendata.cz,16.9,0.0,12.5,38.3,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,25.0,33.3,75.0,25.0,33.3
10/10/2022,http://fr.dbpedia.org/sparql,fr.dbpedia.org,17.1,10.0,10.0,31.3,0.0,0.0,0.0,40.0,0.0,0.0,0.0,40.0,16.7,0.0,50.0,50.0,40.0
10/10/2022,https://linked.opendata.cz/sparql,linked.opendata.cz (https),17.4,0.0,12.5,39.7,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,25.0,33.3,75.0,25.0,40.0
10/10/2022,https://bgee.org/sparql,bgee.org,19.4,0.0,12.5,45.7,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,33.3,0.0,100.0,75.0,20.0
10/10/2022,http://ldf.fi/warsa/sparql,ldf.fi/warsa,19.9,10.0,0.0,49.7,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,33.3,0.0,100.0,75.0,40.0
06/10/2022,http://vocabulary.curriculum.edu.au/PoolParty/sparql/scot,vocabulary.curriculum.edu.au/...*,21.2,5.0,12.5,46.0,0.0,0.0,0.0,20.0,0.0,50.0,0.0,0.0,33.3,0.0,75.0,75.0,46.7
10/10/2022,http://rdf.muninn-project.org/sparql,rdf.muninn-project.org,21.3,0.0,12.5,51.3,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,33.3,0.0,75.0,75.0,73.3
10/10/2022,http://dbkwik.webdatacommons.org/sparql,dbkwik.webdatacommons.org,21.5,42.5,5.0,17.0,0.0,100.0,50.0,20.0,0.0,0.0,0.0,20.0,8.3,0.0,50.0,0.0,26.7
10/10/2022,http://wasabi.inria.fr/sparql,wasabi.inria.fr,21.7,32.5,0.0,32.7,0.0,100.0,0.0,30.0,0.0,0.0,0.0,0.0,8.3,33.3,25.0,50.0,46.7
